adjective,useful,valid for pattern 4,pattern 4 type,valid for pattern 3
لرزه,1,,,
لغزنده,1,,,1
لق,1,,,
لمس,1,,,
لنگ,1,,,1
له,1,,,
لیز,1,,,
مالش,1,,,
ماهواره,1,,,
معاصر,1,1,time,1
منقضی,1,1,time,1
موجان,1,,,1
ناتوان,1,,,
ناچیز,1,1,mass,1
نازک,1,1,length,1
نایاب,1,1,frequency,1
نشت,1,1,debi,
نمور,1,,,1
نیرومند,1,1,force,1
هم آهنگ,1,1,speed,1
هم پا,1,1,speed,1
هم ترازو,1,,,
هم رس,1,,,
هم سنگ,1,1,force,1
هم طراز,1,1,length,1
همتا,1,,,
هنگفت,1,,,1
ول,1,,,
ولرم,1,1,temperature,1
ولنگار,1,,,
یخ,1,1,temperature,1
یکه,1,,,1
طولانی,1,1,length,1
عریض,1,1,length,1
عمیق,1,1,length,1
مرتفع,1,1,length,1
ضخیم,1,1,length,1
قطور,1,1,length,1
دور,1,1,length,1
نزدیک,1,1,length,1
وسیع,1,1,length,1
دراز,1,1,length,1
کوتاه,1,1,length,1
بزرگ,1,1,volume,1
حجیم,1,1,volume,1
زیاد,1,,,1
ظرفیت‌دار,1,1,volume,1
گنجایش‌دار,1,1,volume,1
جا‌دار,1,1,volume,1
تند,1,1,speed,1
تیز,1,1,speed,1
یواش,1,1,speed,1
ساکن,1,1,speed,1
ثابت,1,1,speed,1
متوقف,1,1,speed,1
پر‌توان,1,1,power,1
پر‌مصرف,1,1,power,1
چگال,1,1,density,1
شتاب‌دار,1,1,acceleration,1
پر‌شتاب,1,1,acceleration,1
تند شونده,1,1,acceleration,1
کند شونده,1,1,acceleration,1
پر‌حافظه,1,1,data-storage,1
بالا,1,1,length,1
پایین,1,1,length,1
آبخورش,0,,,
آبدار,0,,,
آبدستی,0,,,
آبست,0,,,
آبستن,0,,,
آبسته,0,,,
آبشت,0,,,
آب‌شناس,0,,,
آپارتی,0,,,
آتش‌گون,0,,,
آتش‌ناک,0,,,
آتشين,0,,,
آجین,0,,,
آخ,0,,,
آخوند,0,,,
آدخ,0,,,
آذربایجانی,0,,,
آذری,0,,,
آرامش,0,,,
آرایش,0,,,
آرغده,0,,,
آرغنده,0,,,
آریاییان,0,,,
آزادی بخش,0,,,
آزمایه,0,,,
آزناک,0,,,
آژدار,0,,,
آژیر,0,,,
آس و پاس,0,,,
آستین سر خود,0,,,
آسموغ,0,,,
آسیابان,0,,,
آسیمه,0,,,
آسیون,0,,,
آشکاره,0,,,
آشگر,0,,,
آشوغ,0,,,
آغالش,0,,,
آغستن,0,,,
آفتاب نشین,0,,,
آفدم,0,,,
آگنده گوش,0,,,
آگون,0,,,
آلا,0,,,
آلاپلنگی,0,,,
آلایش,0,,,
آلپر,0,,,
آلغده,0,,,
آلفته,0,,,
آلمانی,0,,,
آله,0,,,
آماده,0,,,
آمخته,0,,,
آمد کار,0,,,
آمرزش,0,,,
آمون,0,,,
آمیزگاری,0,,,
آمیغه,0,,,
آهسته کار,0,,,
آهنگی,0,,,
آهنین,0,,,
آوار,0,,,
آواره,0,,,
آویزش,0,,,
آویژه,0,,,
ابرناک,0,,,
ابلوک,0,,,
ابیو,0,,,
اتکاناپذیر,0,,,
اجنبی,0,,,
اختروارون,0,,,
اخم و تخم,0,,,
اخمو,0,,,
ادهم,0,,,
ارتودوکس,0,,,
ارغنده,0,,,
ارغه,0,,,
ارغوانی,0,,,
ارغون,0,,,
ارقه,0,,,
ارگانیک,0,,,
ارمگان,0,,,
ارمنده,0,,,
اریش,0,,,
از بن گوش,0,,,
اژکان,0,,,
اژیر,0,,,
اسبید,0,,,
اسپری,0,,,
اسپید,0,,,
استان,0,,,
استبر,0,,,
استخوان دار,0,,,
استخوانی,0,,,
استرون,0,,,
استه,0,,,
استوارداشت,0,,,
استوه,0,,,
استیزه,0,,,
اسغده,0,,,
اسکل,0,,,
اسکیزه,0,,,
اسوار,0,,,
اشتردل,0,,,
اشکل,0,,,
اشکوخ,0,,,
اشکوخه,0,,,
اشن,0,,,
اشنوسه,0,,,
اصفهانی,0,,,
اعتماد به سقف,0,,,
اعتماد به نفس,0,,,
افد,0,,,
افدم,0,,,
افروزش,0,,,
افزایش,0,,,
افسار سر خود,0,,,
افگار,0,,,
اقرع,0,,,
اکرم,0,,,
الاغ,0,,,
الپر,0,,,
الدنگ,0,,,
الفنج,0,,,
الکن,0,,,
الکی,0,,,
امیدلیس,0,,,
امیر,0,,,
انبارش,0,,,
انباز,0,,,
انبازی,0,,,
انباغ,0,,,
انبره,0,,,
انبسته,0,,,
انجین,0,,,
انچوچک,0,,,
انداختنی,0,,,
انداز,0,,,
اندایش,0,,,
اندخس,0,,,
اندراختری,0,,,
اندرخور,0,,,
اندرکهکشانی,0,,,
اندیشناک,0,,,
اندیشه,0,,,
انر,0,,,
انسان,0,,,
انگشت رس,0,,,
انگشت نگاری,0,,,
انگشتال,0,,,
انگلیسى,0,,,
اهریمنی,0,,,
اهورایی,0,,,
اوبی,0,,,
اوروت,0,,,
اوست,0,,,
اویراه,0,,,
ایان,0,,,
ایتالیایی,0,,,
ایج,0,,,
ایرانی,0,,,
ایواز,0,,,
بآژیر,0,,,
بآیین,0,,,
با خود,0,,,
با دندان,0,,,
باانضباط,0,,,
باباشمل,0,,,
بادبر,0,,,
بار,0,,,
بازاری,0,,,
بازتاب,0,,,
بازگرد,0,,,
بازگفت,0,,,
بازنده,0,,,
بازیکن,0,,,
باستانی کار,0,,,
باسری,0,,,
باسکی,0,,,
باشی,0,,,
باصر,0,,,
باکره,0,,,
بالش,0,,,
بامی,0,,,
بانمک,0,,,
بایا,0,,,
باید,0,,,
ببر,0,,,
ببرگ,0,,,
بت‌پرست,0,,,
بتر,0,,,
بچگانه,0,,,
بچل,0,,,
بچه ننه,0,,,
بخت آفرید,0,,,
بخت آفرین,0,,,
بخت‌آفرید,0,,,
بخته,0,,,
بختور,0,,,
بخوبر,0,,,
بد,0,,,
بدآزمون,0,,,
بدآموزی,0,,,
بدحساب,0,,,
بددل,0,,,
بدریخت,0,,,
بدگونیا,0,,,
بدلهجه,0,,,
بده بستان,0,,,
بدون,0,,,
بدیمن,0,,,
بر,0,,,
بر در نشسته,0,,,
براق,0,,,
بران,0,,,
برانی,0,,,
بربسته,0,,,
برپا,0,,,
برجسته,0,,,
برخچ,0,,,
برخوردار,0,,,
برخی,0,,,
برروشن,0,,,
برش,0,,,
برش کار,0,,,
برکاست,0,,,
برگزار,0,,,
برگشته اختر,0,,,
برمال,0,,,
برناس,0,,,
برنده,0,,,
برهم بسته,0,,,
برومند,0,,,
بریان,0,,,
برینش,0,,,
بز خر,0,,,
بزدل,0,,,
بزرگ خوانده,0,,,
بژکول,0,,,
بس,0,,,
بس پاره,0,,,
بسباس,0,,,
بستاخ,0,,,
بستار,0,,,
بستک,0,,,
بسته میان,0,,,
بسنده,0,,,
بسنگ,0,,,
بسیجی,0,,,
بشار,0,,,
بشکول,0,,,
بشم,0,,,
بشول,0,,,
بشولش,0,,,
بغا,0,,,
بک ولک,0,,,
بکنک,0,,,
بگشن,0,,,
بگوبخند,0,,,
بگومگو,0,,,
بُل,0,,,
بلاده,0,,,
بلغده,0,,,
بلغندر,0,,,
بلفرخج,0,,,
بلند همت,0,,,
بنام,0,,,
بناور,0,,,
بنجل,0,,,
بنفش,0,,,
بنگار,0,,,
بهی,0,,,
بوجار,0,,,
بوز,0,,,
بوشهری,0,,,
بوقلمون‌صفت,0,,,
بی آلایش,0,,,
بی دست و پا,0,,,
بی دولتی,0,,,
بی هوده,0,,,
بیات,0,,,
بی‌امان,0,,,
بی‌پایاب,0,,,
بیجان,0,,,
بیچاره,0,,,
بیدار,0,,,
بیدخ,0,,,
بیدمال,0,,,
بیژه,0,,,
بیستم,0,,,
بی‌عیب,0,,,
بیفام,0,,,
بیمار,0,,,
بینش,0,,,
بی‌نقص,0,,,
بی‌هنجار,0,,,
بیواره,0,,,
بیوه,0,,,
پا درمیانی,0,,,
پاتال,0,,,
پاتیل,0,,,
پادواژه,0,,,
پار,0,,,
پارامونیک,0,,,
پاراو,0,,,
پارسى,0,,,
پارو,0,,,
پازش,0,,,
پاش,0,,,
پاک‌دل,0,,,
پالایش,0,,,
پالش,0,,,
پای داشتن,0,,,
پایسته,0,,,
پتی,0,,,
پچل,0,,,
پخچ,0,,,
پخس,0,,,
پخمه,0,,,
پذیرش,0,,,
پر افاده,0,,,
پر بودن,0,,,
پرپری,0,,,
پرده بازی,0,,,
پرس,0,,,
پرستش,0,,,
پرسه,0,,,
پرغونه,0,,,
پرکر,0,,,
پرکم,0,,,
پرکنده,0,,,
پرندین بر,0,,,
پرنور,0,,,
پروره,0,,,
پریش,0,,,
پزوایی,0,,,
پژولش,0,,,
پژوم,0,,,
پژوه,0,,,
پژوین,0,,,
پستک,0,,,
پسرخوانده,0,,,
پسغده,0,,,
پشام,0,,,
پشت دادن,0,,,
پشت میز نشین,0,,,
پشلنگ,0,,,
پشمالو,0,,,
پشه غال,0,,,
پشیم,0,,,
پفتال,0,,,
پفیوز,0,,,
پک,0,,,
پکر,0,,,
پکنه,0,,,
پلاس,0,,,
پلشت,0,,,
پلغده,0,,,
پلوخوری,0,,,
پلید,0,,,
پنتی,0,,,
پنجم,0,,,
پندنیوش,0,,,
پهلو,0,,,
پوچ,0,,,
پوده,0,,,
پوزش,0,,,
پوسانه,0,,,
پوشش,0,,,
پوشیده,0,,,
پولادسنب,0,,,
پوی,0,,,
پویه,0,,,
پی فشردن,0,,,
پیا,0,,,
پیاده,0,,,
پیان,0,,,
پیچ,0,,,
پیچش,0,,,
پیدا,0,,,
پیدایش,0,,,
پیراماهی,0,,,
پیرایش,0,,,
پیرایشگر,0,,,
پیرند,0,,,
پیروز,0,,,
پیروزروز,0,,,
پیزری,0,,,
پیزوری,0,,,
پیسه,0,,,
پیش اندیش,0,,,
پیش خور,0,,,
پیش فروش,0,,,
پیشدست,0,,,
پیش‌ستاره‌ای,0,,,
پیشه گانی,0,,,
پیمان کار,0,,,
تأزش,0,,,
تابش,0,,,
تاتول,0,,,
تاجیکی,0,,,
تار,0,,,
تاران,0,,,
تازی,0,,,
تازیک,0,,,
تاس,0,,,
تاسه,0,,,
تاشک,0,,,
تانگو,0,,,
تباه,0,,,
تبست,0,,,
تبش,0,,,
تبه,0,,,
تپش,0,,,
تپل,0,,,
تپنکوز,0,,,
تجا,0,,,
تخته قاپو,0,,,
تخس,0,,,
تر,0,,,
ترافرازنده,0,,,
تراوش,0,,,
ترد,0,,,
ترسایی,0,,,
ترسو,0,,,
ترفند,0,,,
ترکتازی,0,,,
تز,0,,,
تفت,0,,,
تفتان,0,,,
تفکی,0,,,
تق,0,,,
تک,0,,,
تک همسری,0,,,
تکرارپذیر,0,,,
تکیده,0,,,
تلاتوف,0,,,
تلان,0,,,
تلپ,0,,,
تلخ,0,,,
تنبل,0,,,
تندمزه,0,,,
تنک,0,,,
تنگ چشمی,0,,,
تنگ حال,0,,,
تنگساری,0,,,
تنها,0,,,
تهم,0,,,
تو دل برو,0,,,
توابع,0,,,
تور,0,,,
توسعه‌طلبی,0,,,
توسن,0,,,
تولک,0,,,
تی,0,,,
تیب,0,,,
تیره,0,,,
تیموک,0,,,
جادنگو,0,,,
جادنگوی,0,,,
جادو,0,,,
جامکاری,0,,,
جانبی,0,,,
جانور,0,,,
جدا,0,,,
جداناپذیر,0,,,
جدانشونده,0,,,
جرد,0,,,
جزوع,0,,,
جستار,0,,,
جعلق,0,,,
جفته,0,,,
جفنگ,0,,,
جلبکی,0,,,
جلنبر,0,,,
جلو,0,,,
جلویز,0,,,
جماش,0,,,
جنابه,0,,,
جنبه داشتن,0,,,
جنگولک بازی,0,,,
جهانگیر,0,,,
جهود,0,,,
جوشاک,0,,,
جولاه,0,,,
جولقی,0,,,
جوله,0,,,
جولومبر,0,,,
جولیک,0,,,
جیرجیرو,0,,,
جیغو,0,,,
چاپلوس,0,,,
چارچنگولی,0,,,
چاوله,0,,,
چایش,0,,,
چایمان,0,,,
چپ,0,,,
چپل,0,,,
چپه,0,,,
چخ,0,,,
چخین,0,,,
چرا,0,,,
چرسی,0,,,
چرند,0,,,
چس خور,0,,,
چسبان,0,,,
چست,0,,,
چسنگ,0,,,
چشک,0,,,
چغاز,0,,,
چغل,0,,,
چفته,0,,,
چک,0,,,
چکنده,0,,,
چکن‌دوز,0,,,
چل,0,,,
چلسه,0,,,
چلفتی,0,,,
چلنچو,0,,,
چلنگر,0,,,
چم,0,,,
چماله,0,,,
چمچاخ,0,,,
چموش,0,,,
چنگ,0,,,
چنگلوک,0,,,
چنگوک,0,,,
چه,0,,,
چهارگوشه,0,,,
چهلم,0,,,
چول,0,,,
چیره,0,,,
حرس,0,,,
حنانه,0,,,
حوردیس,0,,,
خاب,0,,,
خارش,0,,,
خام درایی,0,,,
خامش,0,,,
خانمی,0,,,
خبایث,0,,,
خبوک,0,,,
ختمخالی,0,,,
ختنبر,0,,,
خجاره,0,,,
خجسته,0,,,
خجیر,0,,,
خدایگان,0,,,
خدایی,0,,,
خدوک,0,,,
خدیش,0,,,
خر,0,,,
خراب,0,,,
خراد,0,,,
خرست,0,,,
خرفت,0,,,
خرفهم,0,,,
خرقه باز,0,,,
خرکچی,0,,,
خرم,0,,,
خسته,0,,,
خستو,0,,,
خشته,0,,,
خشکانج,0,,,
خشنگ,0,,,
خشنو,0,,,
خشوک,0,,,
خشونت,0,,,
خشین,0,,,
خطرناک,0,,,
خفته,0,,,
خفرگ,0,,,
خفن,0,,,
خل,0,,,
خلش,0,,,
خلنگ,0,,,
خلیش,0,,,
خنزرپنزری,0,,,
خنگ,0,,,
خنیده,0,,,
خواجه,0,,,
خوالیگر,0,,,
خوانا,0,,,
خواهش,0,,,
خوست,0,,,
خوش,0,,,
خوش‌گوار,0,,,
خوهل,0,,,
خویشکار,0,,,
خیر,0,,,
خیراندیش,0,,,
خیره,0,,,
خیز,0,,,
دائم‌السفر,0,,,
دادار,0,,,
داروگر,0,,,
داستار,0,,,
داغان,0,,,
داغول,0,,,
دانشی,0,,,
دانشیک,0,,,
دانماركى,0,,,
دانی,0,,,
دبز,0,,,
دبنگ,0,,,
دبنگوز,0,,,
دبور,0,,,
دج,0,,,
دخش,0,,,
دخو,0,,,
دربایست,0,,,
درخشش,0,,,
درخور,0,,,
درخورنده,0,,,
دردو,0,,,
درستکار,0,,,
درشمیدنی,0,,,
درغوش,0,,,
درفشی,0,,,
درنگی,0,,,
درنوردیده,0,,,
درو,0,,,
درودگر,0,,,
دروگر,0,,,
درین,0,,,
دستکش,0,,,
دستگزار,0,,,
دعی,0,,,
دغ,0,,,
دغا,0,,,
دغسر,0,,,
دغول,0,,,
دفزک,0,,,
دفینه,0,,,
دکش,0,,,
دکل,0,,,
دگرآزار,0,,,
دگراندیش,0,,,
دگرپذیر,0,,,
دگرشپذیر,0,,,
دگرشناپذیر,0,,,
دگرناپذیر,0,,,
دل تُنُک,0,,,
دل تنگ,0,,,
دل نمودگی,0,,,
دلباخته,0,,,
دل‌پاک,0,,,
دلنگ,0,,,
دلنگان,0,,,
دله,0,,,
دلیر,0,,,
دم لابه,0,,,
دمر,0,,,
دند,0,,,
دنگ,0,,,
دنگال,0,,,
دنگل,0,,,
دنه,0,,,
دهان دره,0,,,
دهشت,0,,,
دهل زن,0,,,
دهل‌زن,0,,,
دهم,0,,,
دوالک باز,0,,,
دوالی,0,,,
دورو,0,,,
دوست,0,,,
دیرمدار,0,,,
رادین,0,,,
راست براست,0,,,
راسته,0,,,
راکاره,0,,,
رامشگر,0,,,
رانش,0,,,
راه راه,0,,,
راهدار,0,,,
رت,0,,,
رحیم,0,,,
رخ,0,,,
رخشان,0,,,
رژد,0,,,
رس,0,,,
رستنی,0,,,
رسمی,0,,,
رشک,0,,,
رشمند,0,,,
رشنیق,0,,,
رضوی,0,,,
رضویه,0,,,
رفتار,0,,,
رفتگر,0,,,
رم,0,,,
رمش,0,,,
رنجش,0,,,
رندانه,0,,,
رهایش,0,,,
رهیافت,0,,,
رو داشتن,0,,,
روارو,0,,,
روارو زدن,0,,,
روان‌دوست,0,,,
روانی,0,,,
رودربایستی,0,,,
رودگر,0,,,
روستیک,0,,,
روسی,0,,,
روش,0,,,
روشان,0,,,
رویش,0,,,
ریث,0,,,
ریخته‌گر,0,,,
ریدمان,0,,,
ریسه,0,,,
ریشخند,0,,,
ریغماسی,0,,,
ریغو,0,,,
ریمن,0,,,
زابرا,0,,,
زاد,0,,,
زاری,0,,,
زاغول,0,,,
زاغولو,0,,,
زال,0,,,
زاو,0,,,
زایش,0,,,
زایمان,0,,,
زبل,0,,,
زپرتی,0,,,
زجه,0,,,
زدر,0,,,
زر,0,,,
زربفت,0,,,
زرد,0,,,
زردشتی,0,,,
زردنبو,0,,,
زرنگ,0,,,
زرینه,0,,,
زشت,0,,,
زفت,0,,,
زق زقو,0,,,
زمستان خواب,0,,,
زمین خیز,0,,,
زن بر,0,,,
زنج,0,,,
زند,0,,,
زنده,0,,,
زندیک,0,,,
زنهاری,0,,,
زنویه,0,,,
زه,0,,,
زهه,0,,,
زوار,0,,,
زوش,0,,,
زيبا,0,,,
زیرک,0,,,
زیغگر,0,,,
ژکاره,0,,,
ژکور,0,,,
ژنده,0,,,
ژیان,0,,,
ژیرا,0,,,
سابری,0,,,
سابوره,0,,,
ساجگون,0,,,
ساچی,0,,,
ساخت و ساز,0,,,
ساختمان,0,,,
ساد,0,,,
سادیست,0,,,
سارا,0,,,
ساربان,0,,,
سازش,0,,,
ساسی,0,,,
سالوس,0,,,
سالوک,0,,,
ساو,0,,,
ساویز,0,,,
سایه آمیز,0,,,
سبز,0,,,
سبکدل,0,,,
سپاهی,0,,,
سپهسالار,0,,,
سپید,0,,,
ستا,0,,,
ستان,0,,,
ستایشگر,0,,,
ستبر,0,,,
سترون,0,,,
ستنبه,0,,,
سته,0,,,
ستیغ,0,,,
سحابی,0,,,
سخ,0,,,
سخاوتمند,0,,,
سراکوفت,0,,,
سراکونی,0,,,
سرایه,0,,,
سرتق,0,,,
سرخابی,0,,,
سردستی,0,,,
سرزده,0,,,
سرزنش,0,,,
سرکش,0,,,
سرگشاده,0,,,
سزا,0,,,
سعيد,0,,,
سعید,0,,,
سغبه,0,,,
سفارش,0,,,
سفت گر,0,,,
سفته,0,,,
سفید,0,,,
سق سیاه,0,,,
سکیزه,0,,,
سگالش,0,,,
سلندر,0,,,
سماکار,0,,,
سنجش,0,,,
سندره,0,,,
سهر,0,,,
سهی,0,,,
سواره,0,,,
سواری,0,,,
سوتام,0,,,
سودازده,0,,,
سوزش,0,,,
سوزه,0,,,
سوسول,0,,,
سوم,0,,,
سیاسی,0,,,
سیاه,0,,,
سیاه کار,0,,,
سیب,0,,,
سیز,0,,,
سیغ,0,,,
سیم زده,0,,,
سیمینه,0,,,
سین جیم,0,,,
سینه خیز,0,,,
سینه‌پوش,0,,,
سیه کار,0,,,
سیه کاسه,0,,,
شامگاهی,0,,,
شاهرودی,0,,,
شایسته,0,,,
شب تاز,0,,,
شبست,0,,,
شبکوک,0,,,
شتا,0,,,
شتره,0,,,
شخش,0,,,
شرجی,0,,,
شرزه,0,,,
شرنبه,0,,,
شفت,0,,,
شفک,0,,,
شکارگر,0,,,
شکارگیر,0,,,
شکاری,0,,,
شکمی,0,,,
شکیبا,0,,,
شگرف,0,,,
شگفتن,0,,,
شلف,0,,,
شماره گذاری,0,,,
شماگنده,0,,,
شمالی,0,,,
شناس,0,,,
شندر,0,,,
شنگ,0,,,
شنگول,0,,,
شنود,0,,,
شهره,0,,,
شهروا,0,,,
شهم,0,,,
شهی,0,,,
شوخ,0,,,
شور,0,,,
شور واشور,0,,,
شورش,0,,,
شوشتری,0,,,
شیبا,0,,,
شید,0,,,
شیدا,0,,,
شیرین,0,,,
شیطانی,0,,,
صاغ,0,,,
صافکار,0,,,
صد‌در‌صد,0,,,
صرخ,0,,,
صرعی,0,,,
صرعیان,0,,,
طاس,0,,,
طرفیت,0,,,
عاشر,0,,,
عالم,0,,,
عرب,0,,,
عرقه,0,,,
عطوفت,0,,,
عفج,0,,,
علی,0,,,
غاتی,0,,,
غازغاز,0,,,
غازی,0,,,
غاش,0,,,
غامی,0,,,
غت,0,,,
غد,0,,,
غر,0,,,
غراچه,0,,,
غرتشن,0,,,
غرتی,0,,,
غرچک,0,,,
غرچه,0,,,
غرچی,0,,,
غرش,0,,,
غرشمار,0,,,
غرقه,0,,,
غرنبش,0,,,
غرنبه,0,,,
غرند,0,,,
غش,0,,,
غفج کردن,0,,,
غک,0,,,
غلچه,0,,,
غلیفی,0,,,
غنج,0,,,
غند,0,,,
غنده,0,,,
غنو,0,,,
غوچه,0,,,
غور,0,,,
غوشت,0,,,
غوله,0,,,
غیر‌اصولی,0,,,
فارس,0,,,
فارسی,0,,,
فافا,0,,,
فاوا,0,,,
فتال,0,,,
فج,0,,,
فخت,0,,,
فرادا,0,,,
فرارون,0,,,
فرافکنی,0,,,
فرانسوی,0,,,
فراهم,0,,,
فربی,0,,,
فرتوت,0,,,
فرخ,0,,,
فرخال,0,,,
فرخج,0,,,
فرخنده,0,,,
فرخو,0,,,
فرزام,0,,,
فرزان,0,,,
فرغند,0,,,
فرغنده,0,,,
فرغیش,0,,,
فرمایش,0,,,
فرناس,0,,,
فرهام,0,,,
فرهنجه,0,,,
فروده,0,,,
فروزش,0,,,
فروقه,0,,,
فریبان,0,,,
فریبش,0,,,
فریش,0,,,
فزاک,0,,,
فزه,0,,,
فزونی,0,,,
فژه,0,,,
فشارگردیک,0,,,
فغاک,0,,,
فکسنی,0,,,
فگار,0,,,
فگال,0,,,
فلاد,0,,,
فلاده,0,,,
فنج,0,,,
فنقلی,0,,,
فنلاندی,0,,,
فنی,0,,,
فهل,0,,,
قاقاله,0,,,
قایم,0,,,
قداره بندی,0,,,
قر,0,,,
قرت,0,,,
قرتی,0,,,
قرص,0,,,
قرمز,0,,,
قزل,0,,,
قزللو,0,,,
قزلو,0,,,
قزمیت,0,,,
قسر,0,,,
قشنگ,0,,,
قلاب دوزی,0,,,
قلتبان,0,,,
قلتبانی,0,,,
قلتشن,0,,,
قلقلی,0,,,
قلنبه,0,,,
قمارباز,0,,,
قمصور,0,,,
قناس,0,,,
قهر,0,,,
قهرمان,0,,,
قومش,0,,,
قیپ,0,,,
کاتوزی,0,,,
کاج,0,,,
کارافتاده,0,,,
کارایی,0,,,
کاربرد,0,,,
کارپرداز,0,,,
کارکن,0,,,
کارگر,0,,,
کاژ,0,,,
کاسه گر,0,,,
کاغه,0,,,
کافوربیز,0,,,
کال,0,,,
کالبو,0,,,
کالم,0,,,
کالوس,0,,,
کالیو,0,,,
کانا,0,,,
کاهش,0,,,
کاواک,0,,,
کاوک,0,,,
کاووس,0,,,
کاویان,0,,,
کبود,0,,,
کبوس,0,,,
کپکی,0,,,
کتبی,0,,,
کتره,0,,,
کتره ای,0,,,
کتروم,0,,,
کتکار,0,,,
کتنبر,0,,,
کتنبل,0,,,
کج,0,,,
کج دار مریز,0,,,
کج رفتار,0,,,
کج و کوله,0,,,
کچل,0,,,
کذر,0,,,
کر,0,,,
کَر,0,,,
کُر,0,,,
کِر,0,,,
کرانجی,0,,,
کرپان,0,,,
کرچ,0,,,
کرخ,0,,,
کردگار,0,,,
کردگر,0,,,
کردنگ,0,,,
کرک,0,,,
کروت,0,,,
کژمژ,0,,,
کژمژزبانی,0,,,
کشامن,0,,,
کشن,0,,,
کفاش,0,,,
کل,0,,,
کلافه,0,,,
کلاهدار,0,,,
کلتبان,0,,,
کلته,0,,,
کلندر,0,,,
کله,0,,,
کله دار,0,,,
کلوک,0,,,
کلیاوه,0,,,
کلیک,0,,,
کم رو,0,,,
کم زده,0,,,
کماس,0,,,
کمپیر,0,,,
کمر بسته,0,,,
کنانه,0,,,
کنج,0,,,
کنجکاو,0,,,
کنجه,0,,,
کندا,0,,,
